City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,alugan,12.2188,125.4808,78.48,86,39,13.06,PH,1675617228
157,kavieng,-2.5744,150.7967,81.48,73,100,2.15,PG,1675617228
158,pacific grove,36.6177,-121.9166,53.65,89,100,5.99,US,1675617229
159,kayerkan,69.3497,87.7602,0.52,91,100,3.67,RU,1675617229
160,gizo,-8.103,156.8419,78.75,91,100,17.72,SB,1675617231
161,nurota,40.5614,65.6886,37.54,62,100,7.67,UZ,1675617231
162,kodiak,57.79,-152.4072,35.11,100,100,29.93,US,1675617227
163,annau,37.8876,58.516,49.62,54,51,7.11,TM,1675617232
164,gao,16.6362,1.637,91.65,8,15,8.41,ML,1675617232
165,veraval,20.9,70.3667,71.65,55,3,11.12,IN,1675617232
166,tazovskiy,67.4667,78.7,-9.96,100,53,8.23,RU,1675617233
167,kozlovka,55.8428,48.2492,0.12,100,96,1.97,RU,1675617233
168,matara,5.9485,80.5353,76.57,90,100,1.54,LK,1675617234
169,talnakh,69.4865,88.3972,1.2,96,100,3.53,RU,1675617234
170,dikson,73.5069,80.5464,-3.68,97,100,1.74,RU,1675617234
171,kurayoshi,35.4333,133.8167,36.59,80,1,4.18,JP,1675617235
172,opuwo,-18.0607,13.84,81.68,22,85,12.97,NA,1675617235
173,severo-kurilsk,50.6789,156.125,23.95,79,94,8.03,RU,1675617235
174,qaanaaq,77.484,-69.3632,-2.85,64,0,8.93,GL,1675617236
175,juneau,58.3019,-134.4197,35.22,94,75,6.91,US,1675617236
176,wylie,33.0151,-96.5389,60.93,71,0,6.91,US,1675616970
177,mapiripan,2.8892,-72.1256,91.18,39,59,11.61,CO,1675617237
178,lompoc,34.6391,-120.4579,57.52,89,75,15.99,US,1675617237
179,meulaboh,4.1363,96.1285,74.53,89,97,3.58,ID,1675617238
180,lavrentiya,65.5833,-171.0,-4.41,96,100,8.39,RU,1675617238
181,adrar,20.5022,-10.0711,72.21,17,68,11.01,MR,1675617238
182,kathu,7.9178,98.3332,78.62,76,4,13.53,TH,1675617239
183,guerrero negro,27.9769,-114.0611,61.92,70,0,11.95,MX,1675617061
184,margate,51.3813,1.3862,44.91,79,100,8.01,GB,1675617239
185,constitucion,-35.3333,-72.4167,69.42,70,46,7.92,CL,1675617240
186,nador,35.174,-2.9287,59.25,63,0,9.22,MA,1675617240
187,sao felix do xingu,-6.6447,-51.995,89.04,53,99,2.59,BR,1675617240
188,santa lucia,27.9117,-15.5407,59.76,55,20,6.91,ES,1675617241
189,ikom,5.9667,8.7063,94.19,32,100,3.56,NG,1675617241
190,paracuru,-3.41,-39.0306,83.1,66,93,11.65,BR,1675617242
191,kaitangata,-46.2817,169.8464,54.23,93,96,5.14,NZ,1675617242
192,kutum,14.2,24.6667,73.18,11,55,2.37,SD,1675617245
193,velikiy novgorod,58.5167,31.2833,14.36,97,100,4.72,RU,1675617246
194,erenhot,43.6475,111.9767,15.49,55,31,2.35,CN,1675617249
195,kenai,60.5544,-151.2583,22.08,93,100,24.16,US,1675617250
196,maumere,-8.6199,122.2111,78.93,86,100,10.98,ID,1675617250
197,shimoda,34.6667,138.95,48.33,67,35,8.63,JP,1675617251
198,beringovskiy,63.05,179.3167,-19.61,93,99,11.92,RU,1675617252
199,chekalin,54.0969,36.245,20.5,97,94,4.34,RU,1675617257
200,ribeira grande,38.5167,-28.7,64.8,77,20,15.01,PT,1675617257
201,san quintin,30.4833,-115.95,60.12,68,0,13.18,MX,1675617259
202,del rio,29.3627,-100.8968,64.24,64,0,5.75,US,1675617037
203,hue,16.4667,107.6,73.51,94,40,2.3,VN,1675617260
204,eureka,40.8021,-124.1637,48.81,93,96,1.99,US,1675617225
205,faanui,-16.4833,-151.75,81.73,73,53,15.7,PF,1675617262
206,ankang,32.68,109.0172,47.05,55,29,1.45,CN,1675617263
207,kaabong,3.4836,34.1492,73.87,28,13,9.01,UG,1675617264
208,luderitz,-26.6481,15.1594,70.45,66,15,25.99,NA,1675617267
209,tharad,24.3961,71.6267,68.27,45,0,8.14,IN,1675617268
210,harper,4.375,-7.7169,83.26,74,100,11.34,LR,1675617269
211,guiyang,26.5833,106.7167,45.41,92,100,3.44,CN,1675617270
212,tilichiki,60.4667,166.1,-21.98,94,11,8.43,RU,1675617271
213,grand gaube,-20.0064,57.6608,80.38,77,74,5.01,MU,1675617271
214,kyren,51.6828,102.1408,3.92,92,95,1.16,RU,1675617272
215,laktasi,44.9081,17.3008,31.86,59,75,3.44,BA,1675617272
216,banda aceh,5.5577,95.3222,78.13,80,98,2.95,ID,1675617273
217,cherskiy,68.75,161.3,-41.69,100,100,4.94,RU,1675617273
218,evensk,61.95,159.2333,-16.69,78,28,8.41,RU,1675617273
219,komsomolskiy,40.4272,71.7189,39.92,93,100,2.3,UZ,1675617274
220,bacolod,10.6667,122.95,76.55,83,97,9.19,PH,1675617274
221,avera,33.194,-82.5271,51.31,61,100,1.19,US,1675617274
222,bom jesus,-9.0744,-44.3586,97.2,26,99,6.46,BR,1675617275
223,moose factory,51.2585,-80.6094,-1.35,90,76,3.76,CA,1675617275
224,monrovia,6.3005,-10.7969,82.17,76,85,10.47,LR,1675617275
225,longido,-2.7333,36.6833,76.35,26,76,13.94,TZ,1675617276
226,catuday,16.2923,119.8062,76.6,78,98,9.42,PH,1675617276
227,qandala,11.472,49.8728,74.28,74,59,5.68,SO,1675617276
228,lamar,33.6668,-95.5836,61.36,74,0,5.75,US,1675617278
229,jiwani,25.05,61.7417,71.67,77,1,16.84,PK,1675617278
230,neiafu,-18.65,-173.9833,80.08,75,100,17.13,TO,1675617279
231,vila,42.0304,-8.1588,50.88,44,0,3.85,PT,1675617005
232,high level,58.5169,-117.136,7.97,94,100,3.62,CA,1675617279
233,vanimo,-2.6741,141.3028,78.37,87,100,3.91,PG,1675617280
234,aksarka,66.5606,67.7975,-9.47,100,60,5.66,RU,1675617280
235,milici,44.1711,19.0903,27.77,81,99,6.11,BA,1675617071
236,te anau,-45.4167,167.7167,57.11,91,100,8.61,NZ,1675617067
237,teguldet,57.3064,88.1667,-9.36,100,95,1.39,RU,1675617281
238,spas,48.8899,24.0629,21.38,96,100,8.08,UA,1675617281
239,leningradskiy,69.3833,178.4167,-27.24,99,100,4.54,RU,1675617281
240,itoman,26.1247,127.6694,68.38,88,75,10.36,JP,1675617281
241,pudozh,61.8099,36.5345,8.89,96,74,5.68,RU,1675617282
242,sitka,57.0531,-135.33,35.49,87,100,8.05,US,1675617282
243,santiago del estero,-27.7951,-64.2615,91.72,30,25,8.3,AR,1675617283
244,cuamba,-14.8031,36.5372,71.08,93,85,2.35,MZ,1675617283
245,prince rupert,54.3161,-130.3201,39.33,83,92,6.13,CA,1675617038
246,timizart,36.8,4.2667,50.34,85,90,5.06,DZ,1675617284
247,tornio,65.8481,24.1466,21.22,87,100,4.18,FI,1675617284
248,antofagasta,-23.65,-70.4,78.08,68,1,8.61,CL,1675617284
249,puerto boyaca,5.9758,-74.5885,90.54,49,8,1.74,CO,1675617284
250,hofn,64.2539,-15.2082,45.21,99,100,26.26,IS,1675617285
251,georgiyevka,43.0369,74.7114,33.84,93,73,11.18,KZ,1675617285
252,petropavlovsk-kamchatskiy,53.0452,158.6483,15.78,92,100,5.88,RU,1675617286
253,isangel,-19.55,169.2667,80.24,82,100,6.53,VU,1675617286
254,porto walter,-8.2686,-72.7439,72.55,95,97,3.36,BR,1675617080
